GEO ID,PMID
200116672,30530648
200116672,31820734
200127893,31018141
200127893,38539015
200127892,31018141
200127892,38539015
200127884,31018141
200127884,38539015
200216999,38539015
200137444,38539015
200165870,33763704
200145669,33763704
200145668,33763704
200145531,33763704
200146026,32572264
200118723,31002671
200146264,33309739
200023694,21057496
200076381,27716510
200157145,34059805
200142259,34941412
200140977,34941412
200140778,34941412
200157027,33879573
200157027,33879573
200156426,33879573
200156426,33879573
200156425,33879573
200156425,33879573
200156424,33879573
200156424,33879573
200080744,35440059
200102248,29462153
200088798,29794063
200066017,25939354
200065685,25939354
200054680,25939354
200054292,25939354
200087162,30322904
200197063,36879017
200140493,35419551
200130711,35419551
200130711,31501549
200097179,35419551
200124391,31501549
200040539,23042784
200034429,22219169
200034427,22219169
200034077,22219169
200022872,20670891
200022870,20670891
200022859,20670891
200021662,20385583
200018178,20385583
200018126,20385583
200017554,19723310
200017554,20602769
200072698,26566685
200231588,38030723
200227741,38030723
200183766,38030723
200183765,38030723
200183764,38030723
200183556,38030723
200097693,30498128
200015745,20485568
200028094,21613409
200130051,31076851
200210256,37169753
200210256,39800688
200210255,37169753
200210255,39800688
200210254,37169753
200210254,39800688
200199806,36510023
200214496,38177678
200214458,38177678
200186357,36539615
200215954,37871105
200180979,35235788
200171017,35235788
200171016,35235788
200084422,27799057
200120584,30820472
200120584,31666070
200120584,34686734
200167559,34686734
200033528,22384383
200172402,34033742
200164788,33589615
200127711,31792364
200109159,29576475
200109158,29576475
200105115,29576475
200261729,39762647
200121750,32084358
200243256,38977847
200215901,38977847
200060202,25493933
200060167,25493933
200060126,25493933
200122497,31125107
200073002,26749252
200106817,39587714
200106817,30333487
200103708,30333487
200164174,33743111
200159596,35172154
200063203,35172154
200060687,35172154
200113740,32025611
200117064,31136284
200115513,26740022
200228348,37989753
200216991,37989753
200268524,39838364
200272793,39367016
200249713,39367016
200249708,39367016
200249493,39367016
200189217,36650381
200169162,36650381
200168661,36650381
200168613,36650381
200168586,36650381
200190939,35511946
200263013,38641753
200156212,38287646
200130633,38287646
200159798,36840360
200159798,36840360
200159795,36840360
200159795,36840360
200159794,36840360
200159794,36840360
200197017,36544018
200197017,36544018
200196613,36544018
200196613,36544018
200196612,36544018
200196612,36544018
200196611,36544018
200196611,36544018
200250598,39637179
200162803,35767948
200162802,35767948
200162728,35767948
200133922,31801092
200254970,38909241
200149097,32384151
200148990,32384151
200148989,32384151
200148988,32384151
200063945,26280576
200063944,26280576
200063943,26280576
200063942,26280576
200242202,38379415
200099962,29550329
200009990,19211887
3915,19211887
200216375,36803569
200096066,30320226
200208265,35920937
200134646,37958987
200054362,25340342
200197916,37277533
200047798,24223949
